251
0 8
c4096 8 1310.43
c4097 8 1489.54
c4102 8 1416.64
c4103 8 1349.83
c4106 8 2198.23
c4107 8 2246.77
c4112 8 1976.65
c4116 8 1747.13
c4117 8 1246.27
c4118 8 1776.28
c4125 8 1542.32
c4129 8 2102.96
c4134 8 2088.48
c4136 8 2012.99
c4137 8 1578.88
c4142 8 2275.64
c4144 8 1710.97
c4146 8 1866.67
c4148 8 1168.5
c4149 8 2492.31
c4150 8 1780.59
c4154 8 1790.07
c4157 8 1585.46
c4158 8 1530.56
c4165 8 1962.88
c4170 8 1981.07
c4174 8 2253.62
c4176 8 1737.14
c4177 8 1431.47
c4182 8 2364.48
c4183 8 2098.95
c4185 8 1708.34
c4186 8 2409.39
c4190 8 1844.92
c4191 8 1688.28
c4197 8 1789.32
c4200 8 2778.04
c4201 8 2071.39
c4202 8 1923.17
c4204 8 2231.94
c4206 8 2073.49
c4207 8 2140.26
c4208 8 1408.15
c4209 8 2209.17
c4210 8 2010.57
c4211 8 1929.97
c4213 8 1874.49
c4215 8 1511.27
c4218 8 2193.83
c4219 8 2090.58
c4223 8 2775.37
c4224 8 2172.18
c4225 8 2467.42
c4226 8 1999.43
c4228 8 2025.76
c4229 8 1999.31
c4230 8 2108.88
c4233 8 1558.61
c4234 8 1496.81
c4235 8 2288.19
c4236 8 2336.09
c4237 8 1982.88
c4238 8 3084.41
c4240 8 2793.89
c4241 8 2585.23
c4243 8 2333.94
c4249 8 1744.33
c4253 8 2764.12
c4257 8 2931.35
c4258 8 1977.05
c4259 8 2712.72
c4260 8 2449.34
c4262 8 2270.64
c4263 8 2586.44
c4266 8 2907.77
c4267 8 2492.08
c4272 8 2344.9
c4277 8 3286.97
c4280 8 2636.05
c4281 8 2523.84
c4282 8 2481.76
c4285 8 2988.34
c4287 8 2694.34
c4288 8 2753.04
c4289 8 2142.08
c4291 8 2209.99
c4296 8 2255.61
c4299 8 1994.28
c4300 8 2671.36
c4303 8 1981.27
c4305 8 2334.36
c4306 8 2429.69
c4308 8 2815.17
c4312 8 3319.14
c4313 8 2507.42
c4317 8 3336.61
c4318 8 2547.55
c4320 8 2436.38
c4321 8 2182.22
c4322 8 2502.81
c4332 8 2314.37
c4334 8 2583.3
c4335 8 2724.99
c4337 8 2626.53
c4338 8 2423.25
c4341 8 2642.88
c4345 8 3077.34
c4349 8 2415
c4350 8 2970.27
c4352 8 3257.72
c4353 8 3156.34
c4354 8 3682.76
c4356 8 3006.88
c4357 8 2545.44
c4358 8 2856.76
c4362 8 2692.35
c4364 8 3663.61
c4369 8 2721.85
c4375 8 3744.27
c4379 8 3155.55
c4380 8 2311.79
c4382 8 3376.26
c4383 8 3307.48
c4385 8 3889.09
c4388 8 3395.92
c4389 8 3236.44
c4390 8 2259.86
c4396 8 2605.07
c4402 8 2543.29
c4403 8 3483.17
c4404 8 3916.06
c4406 8 3067.3
c4410 8 3273.81
c4415 8 3255.91
c4417 8 3354.96
c4420 8 3770.76
c4422 8 3994
c4426 8 3355.73
c4428 8 3734.93
c4432 8 3121.79
c4433 8 3595.58
c4436 8 2963.31
c4437 8 3196.75
c4438 8 3499.59
c4440 8 2824
c4443 8 3803.87
c4444 8 3840.12
c4449 8 3994
c4453 8 3108.83
c4455 8 3494.6
c4456 8 3274.21
c4459 8 3316.91
c4461 8 3385.55
c4462 8 3102.92
c4465 8 3229.9
c4468 8 3994
c4470 8 3545.28
c4473 8 3285.46
c4475 8 3683.62
c4476 8 3706.64
c4477 8 3803.03
c4478 8 3997
c4482 8 3943.12
c4484 8 3374.92
c4485 8 3994
c4486 8 3743.77
c4489 8 3773.53
c4491 8 2834.56
c4495 8 3311.1
c4498 8 3888.27
c4501 8 3795.21
c4504 8 3785.16
c4505 8 3902.95
c4506 8 2854.43
c4508 8 3447.86
c4510 8 3994
c4511 8 3687.11
c4512 8 3978
c4513 8 3812.26
c4514 8 3406.89
c4516 8 3277.5
c4517 8 3673.14
c4518 8 3997
c4520 8 3997
c4521 8 3828.14
c4523 8 3596.49
c4524 8 3708.84
c4526 8 3997
c4527 8 3997
